jobName,podsNum,scheduledNodes,isPreferedNodes,creationTime,scheduledTime,allCompleted,completionTime
job-00,4,"[vk-1,vk-2,vk-0,vk-3]",true,2020-04-27 02:49:54 +0000 UTC,2020-04-27 02:49:54 +0000 UTC,true,2020-04-27 02:50:43 +0000 UTC
job-01,4,"[,,,]",true,2020-04-27 02:49:54 +0000 UTC,,false,
job-02,4,"[,,,]",true,2020-04-27 02:49:54 +0000 UTC,,false,
job-03,4,"[,,,]",true,2020-04-27 02:49:55 +0000 UTC,,false,
job-04,4,"[vk-21,vk-11,vk-16,vk-19]",false,2020-04-27 02:49:55 +0000 UTC,2020-04-27 02:50:08 +0000 UTC,true,2020-04-27 02:50:45 +0000 UTC
job-05,1,[vk-20],false,2020-04-27 02:49:55 +0000 UTC,2020-04-27 02:50:17 +0000 UTC,true,2020-04-27 02:51:50 +0000 UTC
job-06,1,[vk-12],false,2020-04-27 02:49:55 +0000 UTC,2020-04-27 02:50:18 +0000 UTC,true,2020-04-27 02:51:53 +0000 UTC
job-07,1,[],false,2020-04-27 02:49:55 +0000 UTC,,false,
job-08,1,[],false,2020-04-27 02:49:56 +0000 UTC,,false,
job-09,3,"[,,]",false,2020-04-27 02:49:56 +0000 UTC,,false,
job-10,3,"[,,]",false,2020-04-27 02:49:56 +0000 UTC,,false,
job-11,4,"[vk-18,vk-4,vk-6,vk-17]",false,2020-04-27 02:49:56 +0000 UTC,2020-04-27 02:50:14 +0000 UTC,true,2020-04-27 02:51:24 +0000 UTC
job-12,4,"[vk-9,vk-8,vk-5,vk-7]",true,2020-04-27 02:49:57 +0000 UTC,2020-04-27 02:49:59 +0000 UTC,true,2020-04-27 02:50:14 +0000 UTC
job-13,4,"[vk-14,vk-15,vk-13,vk-10]",true,2020-04-27 02:49:57 +0000 UTC,2020-04-27 02:50:07 +0000 UTC,true,2020-04-27 02:50:28 +0000 UTC
job-14,4,"[,,,]",true,2020-04-27 02:50:17 +0000 UTC,,false,
job-15,4,"[,,,]",true,2020-04-27 02:50:18 +0000 UTC,,false,
job-16,4,"[,,,]",true,2020-04-27 02:50:18 +0000 UTC,,false,
job-17,4,"[,,,]",true,2020-04-27 02:50:18 +0000 UTC,,false,
job-18,4,"[vk-8,vk-7,vk-18,vk-17]",false,2020-04-27 02:50:19 +0000 UTC,2020-04-27 02:51:58 +0000 UTC,true,2020-04-27 02:52:37 +0000 UTC
job-19,1,[],false,2020-04-27 02:50:20 +0000 UTC,,false,
job-20,1,[],false,2020-04-27 02:50:16 +0000 UTC,,false,
job-21,1,[],false,2020-04-27 02:50:16 +0000 UTC,,false,
job-22,1,[],false,2020-04-27 02:50:16 +0000 UTC,,false,
job-23,3,"[,,]",false,2020-04-27 02:50:17 +0000 UTC,,false,
job-24,3,"[,,]",false,2020-04-27 02:50:19 +0000 UTC,,false,
job-25,4,"[,,,]",true,2020-04-27 02:50:20 +0000 UTC,,false,
job-26,4,"[vk-9,vk-7,vk-5,vk-8]",true,2020-04-27 02:50:21 +0000 UTC,2020-04-27 02:50:33 +0000 UTC,true,2020-04-27 02:50:45 +0000 UTC
job-27,4,"[vk-13,vk-19,vk-21,vk-15]",false,2020-04-27 02:50:22 +0000 UTC,2020-04-27 02:51:18 +0000 UTC,true,2020-04-27 02:51:49 +0000 UTC
job-28,4,"[vk-14,vk-11,vk-13,vk-15]",true,2020-04-27 02:50:43 +0000 UTC,2020-04-27 02:52:17 +0000 UTC,true,2020-04-27 02:53:05 +0000 UTC
job-29,4,"[vk-21,vk-16,vk-19,vk-20]",true,2020-04-27 02:50:45 +0000 UTC,2020-04-27 02:52:30 +0000 UTC,true,2020-04-27 02:53:36 +0000 UTC
job-30,4,"[vk-4,vk-6,vk-5,vk-9]",true,2020-04-27 02:50:45 +0000 UTC,2020-04-27 02:51:44 +0000 UTC,true,2020-04-27 02:52:34 +0000 UTC
job-31,4,"[,,,]",true,2020-04-27 02:50:45 +0000 UTC,,false,
job-32,4,"[vk-16,vk-11,vk-10,vk-14]",false,2020-04-27 02:50:45 +0000 UTC,2020-04-27 02:51:11 +0000 UTC,true,2020-04-27 02:51:47 +0000 UTC
job-33,1,[vk-0],true,2020-04-27 02:50:46 +0000 UTC,2020-04-27 02:52:47 +0000 UTC,true,2020-04-27 02:53:36 +0000 UTC
job-34,1,[vk-3],true,2020-04-27 02:50:47 +0000 UTC,2020-04-27 02:52:43 +0000 UTC,true,2020-04-27 02:53:32 +0000 UTC
job-35,1,[vk-2],true,2020-04-27 02:50:47 +0000 UTC,2020-04-27 02:52:54 +0000 UTC,true,2020-04-27 02:53:46 +0000 UTC
job-36,1,[vk-1],true,2020-04-27 02:50:47 +0000 UTC,2020-04-27 02:52:51 +0000 UTC,true,2020-04-27 02:53:43 +0000 UTC
job-37,2,"[,]",false,2020-04-27 02:50:48 +0000 UTC,,false,
job-38,2,"[,]",false,2020-04-27 02:50:48 +0000 UTC,,false,
job-39,4,"[vk-1,vk-2,vk-0,vk-3]",true,2020-04-27 02:50:49 +0000 UTC,2020-04-27 02:51:33 +0000 UTC,true,2020-04-27 02:52:24 +0000 UTC
job-40,4,"[vk-0,vk-1,vk-2,vk-3]",true,2020-04-27 02:50:49 +0000 UTC,2020-04-27 02:50:50 +0000 UTC,true,2020-04-27 02:51:09 +0000 UTC
job-41,4,"[vk-5,vk-9,vk-7,vk-8]",true,2020-04-27 02:50:43 +0000 UTC,2020-04-27 02:51:07 +0000 UTC,true,2020-04-27 02:51:30 +0000 UTC
